Topic,Frequency,Papers Appeared,Total Papers,Avg Marks,Importance
Software Process Models,8,7,8,8.75,9.0
Requirements Engineering,8,5,8,10.0,9.0
Software Design and Architecture,18,8,8,9.44,10.0
Software Testing,9,6,8,10.0,9.0
Software Project Estimation and Management,15,7,8,9.33,9.0
Software Quality and Process Improvement,14,8,8,9.64,9.0
Software Configuration and Change Management,6,4,8,9.17,7.0
Software Maintenance and Evolution,6,5,8,9.17,7.0
Mobile and Web Application Engineering,15,6,8,9.0,8.0
Cleanroom Software Engineering,3,3,8,10.0,6.0
