Term / Paper,Question,Topic,Subtopic,Marks
Dec 2025,Q1(c) Five common security issues in cyberspace,Cyber Security Threats & Issues,Common Threats,5
Dec 2025,Q2(a) Intrusion Detection System,Cyber Security Threats & Issues,Technical Countermeasures,5
Dec 2025,Q2(b) Malwares,Cyber Security Threats & Issues,Malwares,5
Dec 2025,Q3(a) Steganography and its applications,Cryptography & Cryptographic Techniques,Steganography,6
Dec 2025,Q3(b) Four advantages of Symmetric-Key Cryptography,Cryptography & Cryptographic Techniques,Symmetric-Key Cryptography,4
Dec 2025,Q4 Need & five principles of security management,Security Management,Principles of Security Management,10
Dec 2025,Q5 Circumstances for compensation under IT Act,Regulation of Cyberspace & Cyber Laws,IT Act Provisions & Liability,10
June 2025,Q1(a) Two types of ciphers with examples,Cryptography & Cryptographic Techniques,Ciphers,6
June 2025,Q1(b) Four advantages & disadvantages of digital security,Fundamentals of Digital & Cyber Security,Pros & Cons of Digital Security,4
June 2025,Q1(c) Three cyber security threats related to data privacy,Cyber Security Threats & Issues,Threats & Data Privacy,6
June 2025,Q1(d) Filtering devices and rating systems,Regulation of Cyberspace & Cyber Laws,Filtering & Rating Systems,4
June 2025,Q2 Provisions of IT Act to regulate cyberspace,Regulation of Cyberspace & Cyber Laws,IT Act Provisions & Liability,10
June 2025,Q3(a) Liability of Network Service Providers,Regulation of Cyberspace & Cyber Laws,Service Provider Liability,5
June 2025,Q3(b) Cyber Forensic Investigation tools,Cyber Forensics,Cyber Forensic Tools,5
June 2025,Q4(a) Cyber Forensic: Preservation of Digital Evidence,Cyber Forensics,Evidence Preservation,5
June 2025,Q4(b) Universal Copyright Convention,Intellectual Property Rights (IPR),Copyrights & Conventions,5
June 2025,Q5 Five forms of Intellectual Property,Intellectual Property Rights (IPR),Forms of IPR,10
Dec 2024,Q1(a) Trademark issues,Intellectual Property Rights (IPR),Trademarks,5
Dec 2024,Q1(b) Remedies for infringement of IPR,Intellectual Property Rights (IPR),IPR Remedies,5
Dec 2024,Q1(c) Liability of service providers,Regulation of Cyberspace & Cyber Laws,Service Provider Liability,5
Dec 2024,Q1(d) Regulation of Cyberspace in United Kingdom,Regulation of Cyberspace & Cyber Laws,Foreign Cyber Laws,5
Dec 2024,Q2 Challenges to cyber security & technical solutions,Cyber Security Threats & Issues,Challenges & Solutions,10
Dec 2024,Q3 Encryption and RSA algorithm with example,Cryptography & Cryptographic Techniques,RSA Algorithm,10
Dec 2024,Q4 Core elements of data security,Fundamentals of Digital & Cyber Security,Principles of Data Security,10
Dec 2024,Q5 Note on Cyber Forensics,Cyber Forensics,Cyber Forensics Overview,10
June 2024,Q1(a) Benefits of digital security,Fundamentals of Digital & Cyber Security,Pros & Cons of Digital Security,5
June 2024,Q1(b) Key functions of cryptography,Cryptography & Cryptographic Techniques,Cryptography Functions,5
June 2024,Q1(c) Patent misuse,Intellectual Property Rights (IPR),Patents,5
